CAPSULE_TEXT,GENRE_NAME,PRICE_RATE,CATALOG_PRICE,DISCOUNT_PRICE,DISPFROM,DISPEND,DISPPERIOD,VALIDFROM,VALIDEND,VALIDPERIOD,USABLE_DATE_MON,USABLE_DATE_TUE,USABLE_DATE_WED,USABLE_DATE_THU,USABLE_DATE_FRI,USABLE_DATE_SAT,USABLE_DATE_SUN,USABLE_DATE_HOLIDAY,USABLE_DATE_BEFORE_HOLIDAY,large_area_name,ken_name,small_area_name,COUPON_ID_hash
グルメ,グルメ,50,3000,1500,2011-07-08 12:00:00,2011-07-09 12:00:00,1,2011-07-10,2011-12-08,151,1,1,1,1,0,0,1,1,0,関東,埼玉県,埼玉,6b263844241eea98c5a97f1335ea82af
グルメ,グルメ,51,2080,1000,2011-07-01 12:00:00,2011-07-02 12:00:00,1,2011-07-03,2011-12-04,154,1,1,1,1,1,1,1,1,1,関東,千葉県,千葉,cc031f250e8bad1e24060263b9fc0ddd
グルメ,グルメ,50,7000,3500,2011-07-12 12:00:00,2011-07-15 12:00:00,3,2011-07-16,2012-01-11,179,0,1,1,1,1,1,1,1,1,関東,千葉県,千葉,ba5e9b7453ca52ff711635a5d2e8102d
グルメ,グルメ,50,3000,1500,2011-07-09 12:00:00,2011-07-11 12:00:00,2,2011-07-12,2011-12-01,142,1,1,1,1,0,0,1,1,1,関東,千葉県,千葉,3e1ffbedca3569f9e8032d401e8cb4e6
グルメ,グルメ,50,2000,1000,2011-07-05 12:00:00,2011-07-06 12:00:00,1,2011-07-07,2011-12-30,176,1,1,0,1,0,0,1,1,0,関東,千葉県,千葉,782934b6c815b4030ea204eef7d4a734
グルメ,グルメ,50,4000,2000,2011-07-24 12:00:00,2011-07-26 12:00:00,2,2011-07-27,2011-10-30,95,0,1,1,1,1,1,1,1,1,関東,千葉県,千葉,439db4336f84d4e4a13290fc0d7e6c4e
グルメ,グルメ,51,3495,1700,2011-09-03 12:00:00,2011-09-05 12:00:00,2,2011-09-07,2012-02-28,174,1,1,1,1,1,1,1,1,1,関東,東京都,新宿・高田馬場・中野・吉祥寺,c9144a97ed61cb778414b758c704d828
グルメ,グルメ,51,3100,1500,2011-08-02 12:00:00,2011-08-04 12:00:00,2,2011-08-05,2012-01-31,179,1,1,1,1,1,1,0,1,1,関西,京都府,京都,2b00d8dfc1a9fcf58e5014cbfd4a1e48
グルメ,グルメ,50,3500,1750,2011-08-11 12:00:00,2011-08-13 12:00:00,2,2011-08-14,2011-11-14,92,1,1,1,1,1,1,1,1,1,関東,東京都,恵比寿・目黒・品川,74e3a12659d38ef20378f156cfeaf204
グルメ,グルメ,57,10500,4500,2011-09-21 12:00:00,2011-09-24 12:00:00,3,2011-09-26,2012-02-29,156,1,1,1,0,0,1,0,0,1,関東,東京都,銀座・新橋・東京・上野,8a0ab8c5dd5014df8b4860233238ed44
グルメ,グルメ,50,3800,1900,2011-10-01 12:00:00,2011-10-03 12:00:00,2,2011-10-05,2012-03-31,178,1,1,1,1,1,1,1,1,1,関東,東京都,銀座・新橋・東京・上野,5544cd0309f920f50f7e0d7e7d6fa69f
グルメ,グルメ,50,8800,4400,2011-08-25 12:00:00,2011-08-28 12:00:00,3,2011-08-29,2012-02-24,179,1,1,1,1,1,1,0,1,1,関東,東京都,銀座・新橋・東京・上野,6eda8088f6394d430f1a1e0abf619f6a
グルメ,グルメ,50,6390,3150,2011-11-06 12:00:00,2011-11-08 12:00:00,2,2011-11-10,2012-02-29,111,1,1,1,1,0,0,0,0,0,関東,千葉県,千葉,305d6620db89f174eae5071749397446
グルメ,グルメ,50,5000,2500,2011-09-13 12:00:00,2011-09-15 12:00:00,2,2011-09-16,2012-03-13,179,1,1,1,1,1,1,1,1,1,東海,愛知県,愛知,784d04cd55f5eaf24b5b2a361dca722d
グルメ,グルメ,50,2980,1490,2011-09-13 12:00:00,2011-09-16 12:00:00,3,2011-09-18,2012-03-15,179,1,1,1,1,0,0,1,1,1,関東,東京都,新宿・高田馬場・中野・吉祥寺,e0a410ff611abefbfb57ca262dcdf42e
グルメ,グルメ,61,3939,1500,2011-08-02 12:00:00,2011-08-04 12:00:00,2,2011-08-05,2011-10-31,87,1,1,1,1,1,1,1,1,1,関東,東京都,銀座・新橋・東京・上野,b286f6fb50a4f849e4382c9752405d7a
グルメ,グルメ,50,6000,2980,2011-07-13 12:00:00,2011-07-15 12:00:00,2,2011-07-16,2011-10-31,107,1,1,1,1,1,2,1,1,1,関東,神奈川県,川崎・湘南・箱根他,8d7006385aa6e12ffbc519c053a9ab19
グルメ,グルメ,60,3000,1200,2011-11-02 12:00:00,2011-11-04 12:00:00,2,2011-11-09,2012-02-29,112,1,1,1,1,1,1,1,1,1,関東,東京都,新宿・高田馬場・中野・吉祥寺,4674ac722f4a15cec7ee28cf9225d808
グルメ,グルメ,50,4230,2100,2011-07-30 12:00:00,2011-08-01 12:00:00,2,2011-08-02,2011-11-01,91,1,0,1,1,1,1,1,1,1,北海道,北海道,北海道,11793f5763195a4532087cb1e771c356
グルメ,グルメ,51,3075,1500,2011-07-14 12:00:00,2011-07-17 12:00:00,3,2011-07-18,2011-11-30,135,1,1,1,1,1,1,1,1,1,関東,千葉県,千葉,634b06c096f032220506d3e0c9557fe8
グルメ,グルメ,50,4000,2000,2011-08-19 12:00:00,2011-08-21 12:00:00,2,2011-08-22,2012-02-16,178,1,1,1,1,0,1,1,1,0,九州・沖縄,福岡県,福岡,c6df1aa327fe4842d9ec3ae5d73c824b
グルメ,グルメ,50,5000,2500,2011-07-21 12:00:00,2011-07-23 12:00:00,2,2011-07-24,2011-11-30,129,1,1,1,1,1,1,1,1,1,九州・沖縄,福岡県,福岡,30bcacc6cb48ffd08a8c495bff6534c8
グルメ,グルメ,60,2500,1000,2011-09-26 12:00:00,2011-09-28 12:00:00,2,2011-09-29,2012-03-26,179,1,1,1,1,1,0,0,0,0,東海,愛知県,愛知,5b62c9549a9b98b4ee5adc4fa109e924
